"","Year","Turnout","Ideology","No.Identification","Ideology.Folded","Conservative","Liberal","Liberal.Thermometer","Conservative.Thermometer","Republican.Thermometer","Education","Party.ID","PartyID.Folded","Household.Income","Age","Female","Race","Black","Region","Union.Member","Church.Attendance","Married","Social.Class"
"36874",1992,0,0,1,0,0,0,NA,NA,NA,2,4,0,1,51,1,1,0,3,0,1,0,4
"36875",1992,1,1,0,1,1,0,60,80,70,5,7,3,3,77,0,1,0,4,0,1,1,6
"36876",1992,1,0,1,0,0,0,40,60,15,2,2,2,1,76,1,1,0,2,0,1,0,2
"36877",1992,0,0,1,0,0,0,NA,NA,NA,3,4,0,1,60,1,1,0,2,0,5,0,4
"36878",1992,1,2,0,2,1,0,0,70,85,3,7,3,3,29,1,1,0,4,1,5,1,1
"36879",1992,1,1,0,1,1,0,15,97,95,2,5,1,3,67,0,1,0,4,0,2,1,4
"36880",1992,1,0,1,0,0,0,50,50,40,3,4,0,NA,54,0,1,0,3,1,5,1,3
"36881",1992,1,2,0,2,1,0,30,85,97,4,7,3,4,40,0,1,0,2,0,1,1,4
"36882",1992,1,0,0,0,0,0,50,50,70,3,6,2,3,21,0,1,0,4,0,2,0,1
"36883",1992,0,1,0,1,1,0,30,60,60,4,5,1,2,26,0,1,0,3,0,5,0,3
"36884",1992,0,0,0,0,0,0,85,50,97,3,7,3,1,33,1,3,0,1,0,5,0,4
"36885",1992,1,2,0,2,1,0,15,85,70,4,7,3,3,35,0,1,0,3,0,2,1,1
"36886",1992,1,-1,0,1,0,1,60,40,60,3,2,2,2,36,1,1,0,2,0,2,0,4
"36887",1992,1,0,0,0,0,0,60,60,70,2,1,3,4,50,1,1,0,3,1,2,1,3
"36888",1992,1,-1,0,1,0,1,50,70,60,4,2,2,4,57,0,1,0,2,1,5,1,3
"36889",1992,1,1,0,1,1,0,40,60,85,3,5,1,4,33,1,1,0,1,0,1,1,6
"36890",1992,1,0,0,0,0,0,40,30,50,4,3,1,1,25,1,1,0,2,1,5,0,1
"36891",1992,NA,0,1,0,0,0,NA,NA,70,3,1,3,1,55,0,3,0,4,0,5,0,1
"36892",1992,0,0,1,0,0,0,50,50,50,3,4,0,1,39,1,1,0,3,0,5,0,1
"36893",1992,1,1,0,1,1,0,40,70,60,5,2,2,4,40,0,1,0,1,0,2,1,4
"36894",1992,1,-2,0,2,0,1,60,50,40,2,2,2,4,24,0,1,0,1,0,1,1,1
"36895",1992,1,1,0,1,1,0,30,60,50,6,5,1,4,58,0,1,0,1,0,5,1,3
"36896",1992,0,0,0,0,0,0,30,50,50,4,2,2,1,35,1,1,0,3,0,1,1,4
"36897",1992,1,2,0,2,1,0,60,70,70,4,7,3,3,75,0,1,0,2,0,2,1,5
"36898",1992,1,-2,0,2,0,1,50,NA,40,4,1,3,2,74,1,1,0,4,0,5,0,6
"36899",1992,0,0,1,0,0,0,50,50,70,3,6,2,3,19,0,3,0,1,0,5,0,1
"36900",1992,1,0,0,0,0,0,15,60,0,NA,1,3,2,66,1,1,0,2,0,3,1,4
"36901",1992,1,-1,0,1,0,1,60,60,70,4,6,2,4,29,1,1,0,1,0,2,1,4
"36902",1992,1,0,1,0,0,0,50,40,60,3,2,2,1,24,1,1,0,1,0,5,1,1
"36903",1992,1,-2,0,2,0,1,70,40,30,5,3,1,2,30,0,1,0,2,0,5,0,4
"36904",1992,1,0,0,0,0,0,40,60,60,6,4,0,3,30,0,1,0,3,0,4,1,4
"36905",1992,1,1,0,1,1,0,40,60,40,4,2,2,3,54,1,1,0,3,1,1,1,4
"36906",1992,1,2,0,2,1,0,50,60,60,3,5,1,2,50,1,1,0,1,0,1,0,1
"36907",1992,1,1,0,1,1,0,30,80,70,6,7,3,3,46,1,1,0,2,0,1,0,4
"36908",1992,1,-1,0,1,0,1,70,40,40,6,3,1,4,57,1,2,1,1,1,1,0,NA
